gid,ply,spend
ckhTaLnE,54,9.0
TnS2r7pj,36,33.0
rUc1928d,25,12.0
PzPdfdh1,25,17.0
s7qk91IL,60,13.0
WOZZstTM,47,13.0
cc165384373242,35,34.6
MHPMIw1m,38,17.0
IqtzAjN0,25,11.0
iCKcRwYn,33,20.0
2mSGALgv,33,12.0
dBbFnJid,33,50.0
hNkgAitv,36,31.0
cc120831593114,43,17.5
Wu8jWYZr,27,15.0
0YOCzJlN,46,12.0
cqKAaBCu,52,11.0
UHJCJ2GQ,30,22.0
0Wm6pRLq,38,16.0
B7GR5GiD,33,24.0
QGRCFqkC,37,19.0
n4LxXGSb,41,13.0
IqpVm3Kr,29,9.0
6IxQwsJh,45,14.0
8pjzkoa9,28,10.0
islyexXZ,56,18.0
jjE87ZS1,38,10.0
XpEcjkGN,29,12.0
cc119496526130,28,17.7
l8ERaxZu,35,15.0
cc121061681076,35,21.1
cc120870012766,45,9.4
H3OUIRhc,34,9.0
Q8qyqS0K,38,42.0
1SLWTKoL,28,15.0
iA7zRqOV,30,8.0
RhwC94WD,36,10.0
cc120616362550,44,11.7
JCxwBzhO,33,18.0
YsxxHHsp,49,9.0
IXRR3RKU,29,29.0
rNGqUii0,29,10.0
EuGl7tKQ,33,12.0
xX0WFPQO,56,8.0
9isNqpZG,40,17.0
cc120023897780,35,19.0
cc120696709236,35,13.3
En9eFx0E,57,8.0
GECfbwcm,37,9.0
UC6CBZkI,32,8.0
YJ8da4dy,35,14.0
cc119991830326,43,16.1
lmbRC839,34,13.0
sKsrWI36,35,9.0
AD9R2xMa,60,12.0
cc120084652046,36,19.0
HQgV83IQ,34,10.0
ppPAyQ5h,39,22.0
hnqPXak2,31,11.0
JeQUxwnk,58,11.0
cc165551232566,26,13.9
Yh4zcYYG,60,16.0
h5BvzMM6,34,11.0
Vi2KunfR,30,13.0
WVbQCGsN,43,14.0
cc119990559302,30,12.6
MXQW6nTb,48,18.0
a1b9uDn5,41,25.0
lUjKz1VZ,48,10.0
E3QouJBp,56,8.0
cc120851182840,29,10.9
BpCSgbYp,27,35.0
azNiBcPq,48,28.0
dDyuk2cZ,35,17.0
pbXuNUbe,35,8.0
QxR1kuxL,34,12.0
QzjE8iF4,72,32.0
cc121117020414,28,9.5
vT8QWTXm,28,11.0
QYkpmCSi,51,16.0
DtJVsuh5,29,11.0
rnfLWk0Z,48,40.0
cc119746001332,28,17.6
piPa0U2D,48,8.0
mwN6Rygs,25,13.0
WUi1eZwb,29,14.0
cc119477017816,31,9.3
ZmZXNcGj,44,25.0
dA4FOWSX,29,14.0
TtQhjliF,27,14.0
0NMirfk5,43,11.0
vc3NsPKG,40,9.0
l0D8RGtk,35,25.0
RDJ36JR3,29,9.0
cc119720943822,27,13.7
cc120084652046,38,12.2
JH9CSufD,67,16.0
cEaYU9kg,48,10.0
H3OUIRhc,42,31.0
cc119702352462,48,10.9
cc165380470322,43,11.3
I6S7nvBu,37,18.0
J9gb3GCj,36,8.0
iGGvIPK4,30,11.0
Lp1BnBax,34,8.0
LvMZEOgf,32,13.0
R50kTqCb,29,12.0
mepwVM0k,33,21.0
Q8qyqS0K,32,21.0
